label,review
1,今天会下雨吗
1,明天会有大风吗
1,最近会有台风吗
1,深圳的气温是多少
1,北京的天气怎么样
1,明天早上会有雾吗
1,今天的气温比昨天高还是低
1,明天的天气如何
1,外面有多少风
1,广州会下雨吗
0,你好
0,最近过得怎么样
0,有什么好看的电影推荐吗
0,最近有没有什么好玩的活动
0,你能聊天吗
0,你是人工智能吗
0,你有多聪明
0,你喜欢做什么
0,你喜欢听音乐吗
0,你觉得生活有意义吗
0,你有什么特长
0,你觉得什么样的人最有趣
0,你相信命运吗
0,你喜欢看书吗
0,你觉得什么样的电影最好看
0,你喜欢哪种体育运动
0,你觉得什么样的音乐最动人
0,你有什么梦想
0,你喜欢吃什么
0,你有宠物吗
0,你觉得人类会灭亡吗
0,你有什么嗜好
0,你觉得自己是幸福的吗
0,你觉得人生的意义是什么
0,你有什么人生哲学
0,你觉得学习重要吗
0,你觉得生活中最重要的是什么
0,你喜欢旅行吗
0,你觉得什么样的旅游最有意义
0,你觉得什么样的音乐最适合工作时听
0,你觉得什么样的饮食最健康
0,你觉得什么样的运动最有益身体健康
1,下雨了怎么办
1,明天早上会很冷吗
1,今天会有雾霾吗
1,夏天会很热吗
1,下周会有大雨吗
1,今天的湿度是多少
1,明天是晴天还是阴天
1,最近会有雷暴天气吗
1,外面的空气质量怎么样
1,北京的PM2.5指数是多少
0,你有什么兴趣爱好
0,你觉得人际关系重要吗
0,你觉得什么样的人最吸引人
0,你觉得如何才能获得成功
0,你喜欢什么样的人
0,你觉得什么样的生活最美好
0,你觉得怎样的教育最有价值
0,你觉得人类社会最大的问题是什么
0,你觉得怎样才能保持健康
0,你喜欢听哪种语言的歌
1,明天会不会下雪
1,上海的气温怎么样
1,未来几天的天气情况怎样
1,春天会不会很冷
1,南方的梅雨季节是什么时候
0,你觉得什么样的书最有价值
0,你觉得学习编程有用吗
0,你喜欢什么样的艺术
0,你觉得怎样才能保持快乐
0,你觉得怎样才能保持积极乐观
0,你觉得如何才能克服恐惧
0,你觉得如何才能提高个人魅力
0,你觉得如何才能提高自我管理能力
0,你觉得如何才能提高创造力
0,你觉得怎样才能更好地处理情感问题
1,未来一周的天气怎么样
1,今天的气温会升高吗
1,最近会有沙尘暴吗
1,今天晚上的气温会下降吗
1,明天早上需要带雨伞吗
1,上海的天气预报能给我看看吗
1,最近有没有什么大的气候变化
1,你觉得今天出门穿什么衣服合适
1,你能给我讲一下明天的天气情况吗
1,今天太阳很大，紫外线强吗
1,南京今天有雾霾吗
1,你觉得我明天出门需要戴口罩吗
1,昨天的气温比今天高还是低
0,你喜欢看电视剧吗
0,你觉得现在的教育体制好吗
0,你喜欢和人交流还是独处
0,你觉得科技对人类的影响是好是坏
0,你喜欢吃辣吗
0,你觉得什么样的工作最有意义
0,你喜欢喝咖啡吗
0,你觉得现在的社会安全吗
0,你觉得现在的医疗体系怎么样
0,你喜欢看体育比赛吗
0,你觉得现在的环境污染怎么样
0,你喜欢吃甜食吗
0,你觉得人类有没有必要探索宇宙
0,你觉得人类会在未来有真正意义的人工智能吗
0,你喜欢看悬疑小说吗
0,你觉得现在的电影水平怎么样
0,你觉得大学教育对人的成长重要吗
0,你觉得家庭对人的成长有多重要
0,你觉得爱情是人生中最重要的吗
0,你觉得人类是否应该重视保护动物
1,明天早上会下雨吗
1,你觉得今天的气温适合运动吗
1,最近的气温变化大吗
1,你觉得今天的紫外线指数高吗
